date,ticker,momentum_12_1,momentum_6_1,momentum_3_1,overnight_return_5d,intraday_return_5d,overnight_return_20d,intraday_return_20d,atr_percentile,hv_percentile,vol_regime,gap_magnitude_5d,gap_5d_count,rsi_7,rsi_14,rsi_28,earnings_surprise_last,earnings_beat_rate_4q
2020-01-02,AAPL,,,,,,,,,,0,,,,,,,
2020-01-02,MSFT,,,,,,,,,,0,,,,,,,
2020-01-02,NVDA,,,,,,,,,,0,,,,,,,
2020-01-02,AMZN,,,,,,,,,,0,,,,,,,
2020-01-02,GOOGL,,,,,,,,,,0,,,,,,,
2020-01-02,TSLA,,,,,,,,,,0,,,,,,,
2020-01-02,JPM,,,,,,,,,,0,,,,,,,
2020-01-03,AAPL,,,,,,,,,,0,,1.0,,,,,
2020-01-03,MSFT,,,,,,,,,,0,,1.0,,,,,
2020-01-03,NVDA,,,,,,,,,,0,,1.0,,,,,
2020-01-03,AMZN,,,,,,,,,,0,,1.0,,,,,
2020-01-03,GOOGL,,,,,,,,,,0,,1.0,,,,,
2020-01-03,TSLA,,,,,,,,,,0,,1.0,,,,,
2020-01-03,JPM,,,,,,,,,,0,,1.0,,,,,
2020-01-06,AAPL,,,,,0.01175757528701545,,,,,0,0.011446196142169074,2.0,,,,,
2020-01-06,MSFT,,,,,0.008632431236112051,,,,,0,0.012014136480448578,1.0,,,,,
2020-01-06,NVDA,,,,,0.009795787813243603,,,,,0,0.01796711379039717,2.0,,,,,
2020-01-06,AMZN,,,,,0.013647045595666393,,,,,0,0.012819709693432546,1.0,,,,,
2020-01-06,GOOGL,,,,,0.0197428440741562,,,,,0,0.01118672450253605,1.0,,,,,
2020-01-06,TSLA,,,,,0.014799740234949047,,,,,0,0.01476652184094468,1.0,,,,,
2020-01-06,JPM,,,,,0.009212685506523174,,,,,0,0.016027429173972263,2.0,,,,,
2020-01-07,AAPL,,,,-0.00758643133435392,0.00760921859576244,,,,,0,0.007675163521871513,2.0,,,,,
2020-01-07,MSFT,,,,-0.007401660614309395,0.0037440873040873734,,,,,0,0.00861718802628871,1.0,,,,,
2020-01-07,NVDA,,,,-0.010375094346258015,0.009162525389082299,,,,,0,0.013581057374271547,2.0,,,,,
2020-01-07,AMZN,,,,-0.008262688255049647,0.010545086893273103,,,,,0,0.008830258002860414,1.0,,,,,
2020-01-07,GOOGL,,,,-0.006825989137085616,0.013852138139220288,,,,,0,0.00808964353296245,1.0,,,,,
2020-01-07,TSLA,,,,0.01330082452623993,0.015250210652112961,,,,,0,0.01712314235197358,2.0,,,,,
2020-01-07,JPM,,,,-0.01297594752551364,0.004360007869403881,,,,,0,0.01297594752551364,2.0,,,,,
